sent,label
Remind me at 4 pm to visit ICICI Bank and boxer,1
Can you remind me to do the same after an hour please?,1
Does my phone need to be connected to Internet for reminders?,1
Set an alarm for 9 am today,0
Give a reminder to carry laptop,1
And remind me to do on every Monday to yuvakender at 9:25pm,1
Set one more reminder for tonight 930pm,0
How will I get a reminder?,1
can you remaind me to sleep at 10.35pm today,1
Remind me to submit my taxes and pay the man all my money at 12:24,1
Remind me to go to david sassoon library at 1.30,1
I wwant to make one more reminder,0
Remind me to take interview of Pooja on 7th Dec at 8 P. M.,1
Remind me to get true copy of agreement tomorrow,1
Remind me on 7 January for visit to borivali for Nagaur got at 3 pm,1
Call me on,1
Please remind me the above,0
Can you remind me to book ticket's for dec end tomorrow ??,1
Thanks for reminder.......,0
Need repeat alarm in next 5 min,1
Remind me to follow up with nana at 7 pm today.,1
Call me in 7898117441,0
I want a reminder to go to Aziza at 4pm,1
Remind me this at 11 am,0
Please remind me on 3rd dec 2016... to deactivate active fitness pkg,1
Remind me at four thorty to check the cookies,1
Remind me at 3:10 pm today,0
Please remind me after 15 minutes for food,0
Can you set reminder for 18 December at 9 pm to book tickets for nations street food festival 2016,1
U can remind till 10,0
This reminder for Shivani pathak okk????,0
Set an alarm at 8 am for tomorrow,0
Yes komal go ahead,0
again call me after 10 minutes,1
Yeah thanks for reminding me,1
Was the call made by you at 12?,1
Please schedule it for everyday,0
Nahi 9:15 Ko Mujhe Remind Karo,0
Remind me that I have math tuition at 2:00pm,1
Also,0
Remind me on 16 Dec at 5 pm for bday of vikas,1
I want this reminder daily,0
Please remind me tomorrow at 1pm to mail my leave application,1
Remind me to cal ravi kumar,1
Remind me at 5pm to go veer hosiery,1
Reminder for electrochemical analysis today 11:30 am,0
Make it for 10:30 am to call Jaineel,1
OBC loan payment. Remind me each month on 28th at 10:30,1
Thanks for remind me,0
Just tell me how this remainder option works?,0
31st Dec 6:45 am 7:00 am 7:10 am Will you schedule all of these please?😌😌,1
Reminder for roll num attest tomorrow at 10 am,1
Remind me to book movie tickets today at 12pm,1
Need to keep reminder,1
16/1/2016 please remind about court in the morning 8am,1
I need a reminder at 5.50 pm sharp.,0
9824671888,0
Remind me for pollution check on 10/03/17at 8.45,1
reminder on friday at 9 am,1
If I uninstall haptic will I get reminders?,1
thanks fr d reminder,0
Please remind me for paying online for movie tickets,1
Remind me to eat tablets,1
Remind me my match,0
One more birthday remainder please,0
Could tell me about taj mahal,1
Remind me at 10 o'clock tomorrow,0
Will you remind me i have to watch movie?,1
Why are nt you calling me,0
9811027464,0
Please set a general reminder for today @ 5:00 p.m.,0
Call me at 8 plZ,0
Remind me at 10 15 am everyday,0
That's good service,1
Remind me for shoes g wing and wholesale t & c at 1 pm today and tomorrow both,1
On this 8th and 9th I arrange a meeting with military staff so please remind me at 9:30 am on those day,1
I wanted to set on more alarm,0
21 Nov call to Jaini for Jmd var on 10am,1
Can u Mee what was today's reminders of me,0
Can u send automated message(scheduled) to any number,1
Schedule reminder at 3:10pm today for cheque issue,1
I need a reminder at 11.55 pm January 6th,0
Why there isn't any sound for reminding messages?,1
Please remind me on :720 am,0
Hi I need 3 reminders a day 1. 11.30 am for salad 2. 1.30 pm for lunch 3. 4 pm for fruits,1
Pls remind me...Tomorrow I have to submit Power quality analysis report hard copy...,1
Remaind me at 11.59 am yaa,0
Ty for all the reminders,1
Put a reminder for me,0
Remind me to bring atta from chakki today at 9.30pm,1
Hey,0
Can you remind me on my nu.mber 9269504000,0
Remind me to have a walk for every one hour in between 10 - 6pm,1
Yes thx want reminder daily,0
Can u Remind me on buying gifts tomorrow for a contest at office may be around at 10:30 am tomorrow,1
Plz remind m after 5 min,1
Can u setup one reminder as well,0
Hi Daniel...remind me to take Airtel connection,1
that reminder ws 12.30 pm,0
Remind me to carry make up box,1
Thnqq for reminding me,1
Call to 2ic tomorrow at 10.30 am,1
Why arw you calling me.,1
Yes.,0
Reminder to pay insurance premium,1
Remind me Raheja Plaza hearing on 11-1-17 @ 12-30pm,1
Guys,1
Set a reminder in 18th,0
Remind me according to glasses,1
Remind me at 9am in the morning to change the order to 100kg each,1
I did get reminder,0
One reminder for 9th November 00.00 am,0
9829210008,0
Remind me on Monday about tax submission by 3 pm,1
This was such a small alarm,0
All done madam.. thanks.. fortunately I remembered this,1
Can u please remind me to bring my laptop to college on Tuesday,1
Remind me to have lunch at 2:30 pm today,1
Thank u lot for remembering I really appreciate this service,1
Remind me to take my cheque book and bring it to office tomorrow,1
Hi.. I need reminder for folic acid only on Wednesdays.. Thanks,0
Please remind me to visit Bsnl office on Monday 07.11.2016 at 13:30 pm,1
Reminder at 6,0
Want to set one reminder,0
Oh s,0
Reminder to punch in biometry,1
Cool thanku soo much.... can u send me this msg detail along with a call that day?,1
Remind me of a flight to Germany on 13th at 11 am,1
Please remind me to get the printout for a manual today at 7.30pm,1
Schedule this for tomorrow,0
I will let you know,0
Afterwards,0
Can you remind me to take deo on 24 th November at 4.45 pm,1
Sure thanks for reminding,0
Reminder message should be,1
Can you remind me through phone alert?,0
7:00 AM,0
I want to remember a birthday,1
Dont't reminder me for every 30 minutes,1
Remind me for my cousin bday. At 23:50,1
Pls remind me on same task at 9 pm,1
Pls set to 10 am to 6 pm only,0
Reminder: management hour at 7:45pm today,0
Can you set a reminder for me,0
I should be able to make conference calls from my mobile. Can you help?,1
Remind me to remind Rutu about training,1
Please remember me I have to buy a CD to tomorrow at 5 p.m.,1
Call me at 12 45 pm,0
Thanks..,0
Thanks for the reminder,0
If u remind me to study,1
Will i get my 6:30 pm call,1
Where is my call,1
Hey sayali can you please remind me bring photo to college,1
Hi can I send reminders to my colleagues as well,1
This Sunday.. Got a meeting with subesh sir. Schedule Tht for me please,1
Remind me to book a cab at 6 o clock,1
Good morning shreya,0
Tell me something about Amazon,1
Today at 12,1
I need 2 calls one fr 7.00 am n another for 7.30 am,1
Make me remind tomorrow,0
Keep remaining me about creating my own software for my company for this two weeks. From morning 10am to 6 pm every 2hours once.,1
Set reminder for 1:30 as i have to study bst,1
Thanks a lot to remind me,0
Reminder for getting party games organzined,1
Pls set a alarm for 8 Am,0
Call me at 9 am,0
Will u remind me daily,0
Where is aspirin reminder?,1
Pleaze remind me to download the gs notes today 9:30 Pm,1
Cud u plz set a reminder for me,0
Remind me to have sex at 8pm,1
Can you change my time 2 reminder of 10am to 10pm?,0
But I ddnt get a cl from ur side for this reminder,0
Remind me to take a haircut on the 25th at 6pm,1
Gayathri 03/01/17 5.10,0
Does the phone have to be on to get the reminder,1
Yes.. You can remind me every day,0
Can you please set this up,0
Can u pls remind me to make a list for all rip and repair styles in one folder,1
To which number you call?,1
Reminder for journey,1
One more reminder at 11 am tomorrow to collect post office 5 year term deposit.,1
Hi .... please remind me to buy deo,1
Nopes i want you guys to make that call,1
Like movie tickets ,1
Tomorrow poshan ahar meeting place reminder me at 9 am,1
Remind me about my daughters pajama party on 16.12.16,1
Make it a schedule for all week days,0
Can u Plz remind me to collect a frame @ 5,1
One more reminder for s for tomo at 9.30 am,1
Remind me about Aadhar card,1
Remind Saloni about Stacy courier on 29th November 2016 at 11am,1
Set the alarm for 8am everyday,0
Every month of 20th I need remainder,0
Set reminder at 2:30 pm To note down the result of aldol condensation,1
Remind me to hear kal ho na ho song on jan 7 at 3pm,1
Yes remind me every monday to friday,0
Remind me to Go for police verification,1
Also schedule the same for 7am and 7:30am too,0
Thnaks,0
Thanks neha. So nice of u,1
didi can u stp all my reminders plz,1
Remind me at 15.25 to go to meeting,1
Remind me to leave for Vaishali at 4 pm today,1
Please set the alarm for me at 9 clock sharp tomrow,0
Remind messaginf Geet for blazer and nehru jacket at 10.30pm today.,1
Can you set 2 alarms please?,0
I need that reminder daily,0
I want you to remind me on 02472222987,0
Two reminders these are,0
Yes make me remind ....I have onenyt stand with my gf tonight ..plz make me remember at 9,1
My paper is on 19nov 2016 Time 10am Remind me weather I talk my admit card ,1
Pls make continues reminder,0
Please remind me on 19th Jan about Chitra nakshtra,1
Want to set reminder for milk every day 5.30 PM.,1
Remember me to study,1
Please remind me to buy meftal spa in the morning. At around 8.30 am and again remind me at 9 am.,1
Remind me to pick a bag from friend home,1
Remind me to Upload money back challenge report tomorrow morning,1
